recno,Year,SN,e_SN,<SN>
821,1791,73.8,48.0,81.8
822,1792,47.5,38.6,76.3
823,1793,8.2,32.9,70.7
824,1794,-20.6,27.5,65.0
825,1795,-29.5,24.2,59.5
826,1796,-29.9,21.6,54.1
827,1797,-16.4,21.5,49.1
828,1798,-7.7,24.1,44.3
829,1799,20.8,27.7,40.0
830,1800,54.3,32.6,36.0
831,1801,57.4,35.1,32.3
832,1802,48.5,33.9,29.0
833,1803,25.4,29.7,25.9
834,1804,15.7,25.6,23.2
835,1805,10.1,25.4,20.9
836,1806,-13.4,25.7,18.8
837,1807,-11.2,25.2,17.1
838,1808,-0.2,25.4,15.8
839,1809,6.5,27.2,15.0
840,1810,10.7,28.3,14.7
841,1811,6.9,28.7,15.0
842,1812,20.5,29.3,16.0
843,1813,24.2,27.8,17.5
844,1814,25.6,29.9,19.4
845,1815,28.0,28.0,21.6
846,1816,6.4,24.3,24.0
847,1817,-2.0,28.9,26.4
848,1818,-7.8,31.2,28.9
849,1819,-18.1,30.3,31.5
850,1820,-23.0,29.9,34.2
851,1821,-7.7,27.6,37.2
852,1822,36.2,33.0,40.4
853,1823,59.1,46.3,43.7
854,1824,67.9,56.1,47.1
855,1825,79.0,59.0,50.3
856,1826,60.1,52.5,53.3
857,1827,38.8,46.2,56.1
858,1828,19.2,45.7,58.8
859,1829,14.5,48.3,61.6
860,1830,40.3,49.3,64.5
861,1831,81.6,51.2,67.5
862,1832,143.5,58.6,70.4
863,1833,187.1,68.7,72.8
864,1834,186.6,71.8,74.7
865,1835,173.3,68.2,75.8
866,1836,145.9,60.7,76.3
867,1837,105.6,51.0,76.4
868,1838,56.7,44.2,76.4
869,1839,29.5,42.3,76.4
870,1840,45.3,44.1,76.6
871,1841,61.8,45.9,76.8
872,1842,64.6,45.2,77.0
873,1843,69.5,42.1,76.9
874,1844,76.3,37.8,76.7
875,1845,58.8,32.3,76.3
876,1846,23.1,31.0,75.8
877,1847,15.1,34.5,75.5
878,1848,27.5,38.7,75.5
879,1849,52.4,45.1,75.7
880,1850,89.3,53.6,76.1
881,1851,127.5,60.4,76.4
882,1852,140.2,59.6,76.5
883,1853,107.5,52.4,76.4
884,1854,63.1,44.2,76.2
885,1855,24.3,38.9,76.2
886,1856,9.6,37.0,76.4
887,1857,29.3,38.4,76.8
888,1858,71.1,42.0,77.4
889,1859,126.8,53.2,78.1
890,1860,158.9,63.8,78.5
891,1861,165.7,66.0,78.5
892,1862,142.8,59.4,78.0
893,1863,80.5,47.9,77.2
894,1864,38.4,39.1,76.2
895,1865,26.8,36.1,75.2
896,1866,32.7,36.7,74.2
897,1867,43.0,36.5,73.1
898,1868,60.5,38.8,71.8
899,1869,95.5,45.6,70.3
900,1870,121.0,51.9,68.5
901,1871,131.6,56.2,66.3
902,1872,138.7,57.7,63.9
903,1873,132.6,52.7,61.3
904,1874,93.7,42.9,58.6
905,1875,47.9,34.1,56.0
906,1876,22.7,27.9,53.3
907,1877,-3.8,24.9,50.7
908,1878,-24.1,24.8,48.0
909,1879,-9.3,26.9,45.4
910,1880,22.5,31.8,42.9
911,1881,44.1,35.3,40.6
912,1882,52.0,35.1,38.5
913,1883,69.7,32.5,36.6
914,1884,64.0,28.1,35.0
915,1885,38.2,27.0,33.6
916,1886,6.0,25.2,32.3
917,1887,-27.7,22.6,31.1
918,1888,-39.3,22.8,30.1
919,1889,-24.1,24.8,29.2
920,1890,-7.0,27.4,28.5
921,1891,8.3,32.0,28.0
922,1892,40.1,38.2,27.7
923,1893,96.4,46.0,27.6
924,1894,111.9,46.7,27.6
925,1895,78.8,39.2,27.4
926,1896,36.1,30.4,27.3
927,1897,9.7,25.7,27.2
928,1898,-7.5,24.1,27.2
929,1899,-31.1,23.3,27.3
